"Orthogroup","anno"
"OG0003643","Serine Proteases/Serpins"
"OG0003702","Coagulation"
"OG0003761","TOLL pathway"
"OG0003820","Lysozymes"
"OG0003972","ROS pathway"
"OG0004045","Coagulation"
"OG0004071","TOLL pathway"
"OG0004094","TOLL pathway"
"OG0004114","Apoptosis/ Autophagy (autophagy)"
"OG0004128","Cellular immune response"
"OG0004130","JAK/STAT pathway"
"OG0004138","Apoptosis/ Autophagy (autophagy)"
"OG0004151","Other Humoral response"
"OG0004156","Melanization"
"OG0004169","Apoptosis/ Autophagy (autophagy)"
"OG0004170","IMD pathway"
"OG0004182","Microbial recognition"
"OG0004200","JAK/STAT pathway"
"OG0004264","TOLL pathway"
"OG0004329","Iron metabolism"
"OG0004334","Lysozymes"
"OG0004339","Microbial recognition"
"OG0004357","Microbial recognition"
"OG0004372","IMD pathway"
"OG0004393","Serine Proteases/Serpins"
"OG0004405","ROS pathway"
"OG0004472","Other Humoral response"
"OG0004473","Hematopoesis and cellular response"
"OG0004554","MAKP-JNK-p38 pathways"
"OG0004555","MAKP-JNK-p38 pathways"
"OG0004565","Lysozymes"
"OG0004575","Other Humoral response"
"OG0004597","MAKP-JNK-p38 pathways"
"OG0004606","TOLL pathway"
"OG0004647","Apoptosis/ Autophagy (apoptosis)"
"OG0004666","MAKP-JNK-p38 pathways"
"OG0004700","JAK/STAT pathway"
"OG0004706","Cellular immune response"
"OG0004727","Apoptosis/ Autophagy (autophagy)"
"OG0004757","Microbial recognition"
"OG0004761","Melanization"
"OG0004771","ROS pathway"
"OG0004789","TOLL pathway"
"OG0004794","TOLL pathway"
"OG0004825","IMD pathway"
"OG0004826","IMD pathway"
"OG0004827","IMD pathway"
"OG0004829","ROS pathway"
"OG0004881","Coagulation"
"OG0004908","IMD pathway"
"OG0004916","Apoptosis/ Autophagy (autophagy)"
"OG0004919","Stress response"
"OG0004920","TOLL pathway"
"OG0004925","Apoptosis/ Autophagy (autophagy)"
"OG0004933","Protease"
"OG0005000","TOLL pathway"
"OG0005079","Cellular immune response"
"OG0005099","Other Humoral response"
"OG0005109","TOLL pathway"
"OG0005188","Microbial recognition"
"OG0005224","Cellular immune response"
"OG0005229","Antiviral defense"
"OG0005232","ROS pathway"
"OG0005247","Antimicrobial peptides"
"OG0005252","Apoptosis/ Autophagy (apoptosis)"
"OG0005263","Coagulation"
"OG0005265","Apoptosis/ Autophagy (autophagy)"
"OG0005268","Cellular immune response"
"OG0005276","Antiviral defense"
"OG0005293","JNK pathway"
"OG0005308","Serine Proteases/Serpins"
"OG0005342","Apoptosis/ Autophagy (autophagy)"
"OG0005358","Melanization"
"OG0005402","Hematopoesis and cellular response"
"OG0005414","IMD pathway"
"OG0005434","Serine Proteases/Serpins"
"OG0005468","Apoptosis/ Autophagy (apoptosis)"
"OG0005527","JNK pathway"
"OG0005534","IMD pathway"
